,Brand_Name,Product_Description,Product_Detail_Description,Discounted_Price,Original_Price,Discount_Percent,Links_of_the_Product_Images,Links_of_the_Product_Zoomed_Images
66,Roadster,Cotton Printed Oversized T-shirt,The Roadster Lifestyle Co. Oversized Fit Typography Printed Pure Cotton T-shirt,Rs. 679,Rs. 1699,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/24917842/2023/11/29/d0a4d344-c4aa-48b3-b4b4-c767ec753ba91701249109329-Roadster-Men-Tshirts-1741701249108967-1.jpg 2.8x"
67,Puma,Ess Polo T-shirt,Puma Ess Polo T-shirt,Rs. 376,Rs. 579,(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/24171078/2023/7/25/0a8d7c76-3c62-49be-93c6-97e34f7990a81690226533629PumaEssMensPoloCottonSlim-FitT-shirt1.jpg 2.8x"
68,Levis,Solid V-Neck Lounge T-shirt,Levis Men Smartskin Technology Pure Cotton V-Neck Lounge T-shirts-026,Rs. 494,Rs. 1099,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/12027420/2022/9/15/f5bd8746-ecc3-44f0-8942-a866e1b73a3e1663221421542LevisMenCharcoalGreySolidPureCottonV-NeckLoungeT-shirts1.jpg 2.8x"
69,Minions by Kook N Keech,Printed Round Neck Pure Cotton Oversized T-shirt,Minions by Kook N Keech Men Purple Boxy Fit Printed Round Neck Pure Cotton Oversized T-shirt,Rs. 584,Rs. 1299,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/8923841/2019/6/3/736b9f2c-3a49-41a9-828c-1e0218b62e431559550212164-Minions-by-Kook-N-Keech-Men-Purple-Printed-Round-Neck-T-shir-1.jpg 2.8x"
70,Jack & Jones,Cotton Slim Fit T-shirt,Jack & Jones Graphic Printed Cotton Slim Fit T-shirt,Rs. 296,Rs. 899,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/26020156/2023/11/24/602d1650-8d78-47df-ba27-3bb62474c6c81700771627393JackJonesMenGreyPrintedSlimFitT-shirt1.jpg 2.8x"
71,Roadster,Men Dyed Round Neck Pure Cotton T-shirt,Roadster Men Teal Blue Dyed Round Neck Pure Cotton T-shirt,Rs. 454,Rs. 1299,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg 2.8x"
72,HRX by Hrithik Roshan,Cotton Yoga T-shirt,HRX by Hrithik Roshan Pure Cotton Yoga T-shirt,Rs. 279,Rs. 999,(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/21775062/2023/7/4/9bf6d90d-9812-4857-8a42-184f895fc5501688453378319-HRX-by-Hrithik-Roshan-Men-Tshirts-6931688453377884-1.jpg 2.8x"
73,Roadster,Brand Logo Cotton Oversized T-shirt,The Roadster Lifestyle Co. Oversized Fit Brand Logo Printed Pure Cotton T-shirt,Rs. 321,Rs. 1399,(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25126168/2023/12/1/37fccd9c-97f6-48d2-af75-215c299a70761701420885885-Roadster-Men-Tshirts-8161701420885436-1.jpg 2.8x"
74,FCUK,Pure Cotton Printed T-shirt,FCUK Brand Logo Printed Pure Cotton T-shirt,Rs. 349,Rs. 999,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/24096934/2023/11/10/a85ad9fa-fad7-473d-b90e-a9d3ebc55c501699613247168-FCUK-Men-Tshirts-6021699613246778-1.jpg 2.8x"
75,Harvard,Solid Polo Collar T-shirt,Harvard Men Burgundy Solid Polo Collar T-shirt,Rs. 367,Rs. 799,(54% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/12817544/2020/11/24/2b764288-8b17-4fa5-8be3-6b3b9bd642a21606216190964-Harvard-Men-Tshirts-2861606216189905-1.jpg 2.8x"
76,Roadster,Men Printed Cotton T-shirt,The Roadster Lifestyle Co. Printed Drop-Shoulder Sleeves Pure Cotton T-shirt,Rs. 499,Rs. 1049,(Rs. 550 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg","
    https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg ,
    https://assets.myntassets.com/f_webp,dpr_1.5,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 1.5x,
    https://assets.myntassets.com/f_webp,dpr_1.8,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 1.8x,
    https://assets.myntassets.com/f_webp,dpr_2.0,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 2.0x,
    https://assets.myntassets.com/f_webp,dpr_2.2,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 2.2x,
    https://assets.myntassets.com/f_webp,dpr_2.4,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 2.4x,
    https://assets.myntassets.com/f_webp,dpr_2.6,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 2.6x,
    https://assets.myntassets.com/f_webp,dpr_2.8,q_60,w_210,c_limit,fl_progressive/assets/images/25126146/2023/12/12/9e928de8-94ad-4361-a07d-118190400d761702368132114-Roadster-Men-Tshirts-4061702368131824-1.jpg 2.8x"
